date,ticker,open,close,volume,dollar_volume,r_cc,r_co_next,r_cc_next,r_oc_next,r_oc,r_cc_lag1,auction_proxy,adv20,vol60,bench,beta_pick,beta_QQQ,r_co_next_xs,r_cc_next_xs,r_oc_next_xs,r_co_next_xsQQQ,r_cc_next_xsQQQ,r_oc_next_xsQQQ,bad_today,bad_next,flag_big_move,flag_bad_split,Flow,Gamma,Gamma_long,Gamma_inv,A_long,A_inv,n_funds,FlowRatio,GammaRatio,treated_ever,treated,year,rev_on_raw,rev_on_xs,rev_on_xsQQQ,rev_cc_raw,rev_cc_xs,rev_oc_xs,absFR,abs_r,thr,size,half_spread_bps,cost_bps,gross_pnl,net_pnl
2022-10-03,NKE,83.12999725341797,85.4000015258789,19108200.0,1631840309.1567993,0.027430377703326236,0.02693198103213401,0.0379390346572106,0.010718386249899403,0.027306680469878053,-0.12808167907657908,97800860.74946213,978008607.4946213,0.02717173146436399,SPY,1.5644023209606295,1.1804030862930324,0.002224798495520569,-0.010536546693946325,-0.012680465867691473,0.003369646769619348,0.0008261459336532939,-0.0025669756331817128,False,False,False,False,303239.45980292745,11054877.299999999,913226.34,10141650.959999999,456613.17,1690275.16,2,0.003100580684864731,0.1130345603840792,True,True,2022,-269.3198103213401,-22.24798495520569,-33.69646769619348,-379.390346572106,105.36546693946325,126.80465867691473,0.003100580684864731,0.027430377703326236,0.002548624084554509,30323.945980292745,2.0,0.0,-67.4646693952023,-67.4646693952023
2022-10-04,NKE,87.69999694824219,88.63999938964844,15114800.0,1339775862.7746582,0.0379390346572106,-0.012973778962272475,0.02775276518426395,0.04126186648184271,0.010718386249899403,0.027430377703326236,101855341.31817245,1018553413.1817245,0.027471391560444043,SPY,1.5369044929091613,1.1831357093102537,0.005649591582612714,0.03133124397573844,0.026032432755404587,0.00317140393733931,0.02838163641163906,0.025530888379839783,False,False,False,False,397723.06326038274,10483215.159634866,960744.8594294864,9522470.30020538,480372.4297147432,1587078.3833675634,2,0.0039047835696508853,0.10292258632650136,True,True,2022,129.73778962272476,-56.49591582612714,-31.7140393733931,-277.5276518426395,-313.3124397573844,-260.32432755404585,0.0039047835696508853,0.0379390346572106,0.0025570858116961935,39772.30632603828,1.0,0.0,-224.69728704068024,-224.69728704068024
2022-10-05,NKE,87.48999786376953,91.0999984741211,12732700.0,1159948950.5714417,0.02775276518426395,-0.0066958979574478494,-0.01020851832461589,-0.00353629906485331,0.04126186648184271,0.0379390346572106,103738928.88716888,1037389288.8716888,0.027818412105003014,SPY,1.5128570538110713,1.1893930217916657,-0.0007986513288050657,0.005397521837598094,0.006210488282262965,-0.002393454431213889,-0.0008445463334321637,0.001543605160376985,False,False,False,False,271231.6945729924,9773141.262578871,1030874.1017954514,8742267.16078342,515437.0508977257,1457044.5267972366,2,0.002614560391962367,0.09420900492628546,True,True,2022,66.95897957447849,7.986513288050657,23.93454431213889,102.08518324615889,-53.97521837598094,-62.10488282262965,0.002614560391962367,0.02775276518426395,0.0025655475388378832,27123.169457299242,1.0,0.0,21.66195532847701,21.66195532847701
2022-10-05,TSLA,245.00999450683594,240.80999755859375,86982700.0,20946303774.639893,-0.034597517632881325,-0.005689112292167842,-0.011129075632041241,-0.0054710889794378215,-0.017142145391644492,0.029042940273044104,1912296123.5692291,19122961235.69229,0.03170152884663391,QQQ,1.0961015630249231,1.0961015630249231,-0.0017241360500610961,-0.002499577940691994,-0.0007896330945661974,-0.0017241360500610961,-0.002499577940691994,-0.0007896330945661974,False,False,False,False,-6266036.864126554,181112325.18518424,21553862.725664143,159558462.4595201,28979133.10789016,79779231.22976005,5,-0.0032767084484965803,0.09470935121028477,True,True,2022,-56.891122921678416,-17.241360500610963,-17.241360500610963,-111.29075632041241,-24.99577940691994,-7.896330945661974,0.0032767084484965803,0.034597517632881325,0.0025655475388378832,500000.0,1.0,0.0,-862.0680250305481,-862.0680250305481
2022-10-06,PFE,43.7599983215332,43.09000015258789,22068200.0,950918741.3673401,-0.023345606122024187,-0.0009282994420642954,-0.01786957463355643,-0.016957016380337087,-0.015310744850180358,-0.0076471612797279764,84809099.00175858,848090990.0175858,0.013541717768831472,SPY,0.46099502020824257,0.3298637113440025,0.004296796900287229,-0.005010646863137753,-0.00923566819746835,0.004660664152909821,-0.005300387630988295,-0.009856486921221545,False,False,False,False,-244528.83806013688,10474298.109118242,1638133.2656843255,8836164.843433917,819066.6328421627,1472694.1405723193,2,-0.002883285413220419,0.12350441441314039,True,True,2022,-9.282994420642954,42.96796900287229,46.60664152909821,-178.69574633556428,-50.10646863137753,-92.3566819746835,0.002883285413220419,0.023345606122024187,0.0026176261630225656,24452.88380601369,2.0,0.0,105.0690753407634,105.0690753407634
2022-10-07,TSLA,233.94000244140625,223.07000732421875,83916800.0,18719321190.625,-0.06324275500689214,0.0038552262667592707,-0.0004931214719139376,-0.004331648254543796,-0.046464884174351684,-0.011129075632041241,1950886527.2380524,19508865272.380524,0.03200019648940467,QQQ,1.1019644853532844,1.1019644853532844,0.003036442995748564,0.010522578326385982,0.007494048068509437,0.003036442995748564,0.010522578326385982,0.007494048068509437,False,False,False,False,-13098722.413268834,207118149.92628577,23215524.92582958,183902625.00045618,31184671.0080514,91951312.50022809,5,-0.006714241054200736,0.10616616960265299,True,True,2022,38.55226266759271,30.36442995748564,30.36442995748564,-4.931214719139376,105.22578326385982,74.94048068509437,0.006714241054200736,0.06324275500689214,0.0026176261630225656,500000.0,1.0,0.0,1518.221497874282,1518.221497874282
2022-10-07,NKE,88.54000091552734,87.16000366210938,8554700.0,745627683.3282471,-0.033381529837892554,0.006883875494942515,-0.0053923940273691295,-0.012192338978789574,-0.015586144557809267,-0.01020851832461589,107039608.23295212,1070396082.3295212,0.028006166595358824,SPY,1.5121282482716858,1.1904325107031837,0.0020074341993309014,0.006153305354142706,0.004177012405386298,0.005999358581751294,0.006507669307102689,0.0005827491041557019,False,False,False,False,-312976.3031158424,9375732.767063655,1060172.110742119,8315560.656321537,530086.0553710595,1385926.7760535895,2,-0.0029239298263751745,0.08759124703314579,True,True,2022,68.83875494942515,20.074341993309012,59.99358581751294,-53.923940273691294,61.53305354142706,41.77012405386298,0.0029239298263751745,0.033381529837892554,0.0026176261630225656,31297.630311584242,1.0,0.0,62.82793344548966,62.82793344548966
2022-10-11,TSLA,220.9499969482422,216.5,77013200.0,16673357800.0,-0.02897383620084637,-0.00540414858635252,0.003418039229395209,0.008870123279931752,-0.020140289702219816,-0.0004931214719139376,1964698106.4933472,19646981064.93347,0.03301899223286357,QQQ,1.1504494390764453,1.1504494390764453,-0.008250286524667515,0.0038119448906035673,0.01210217100121342,-0.008250286524667515,0.0038119448906035673,0.01210217100121342,False,False,False,False,-6753121.08356091,233076525.89558226,24257950.005874697,208818575.88970757,32559346.119012263,104409287.94485378,5,-0.003437230921759316,0.11863223419682747,True,True,2022,-54.041485863525196,-82.50286524667516,-82.50286524667516,34.18039229395209,38.11944890603567,121.0217100121342,0.003437230921759316,0.02897383620084637,0.0026176261630225656,500000.0,1.0,0.0,-4125.143262333758,-4125.143262333758
2022-10-13,TSLA,208.3000030517578,221.72000122070312,91483000.0,20283610871.673584,0.020622332969329804,0.010328311715339211,-0.07545550981161053,-0.08490687683620946,0.06442629847494885,0.003418039229395209,1911138573.5484543,19111385735.484543,0.0330990132216337,QQQ,1.1891704211335732,1.1891704211335732,-0.0002003265267062817,-0.03971247417163431,-0.03904128622261283,-0.0002003265267062817,-0.03971247417163431,-0.03904128622261283,False,False,False,False,5187957.001183553,251569839.78967065,27027203.294795603,224542636.49487504,36248266.088195026,112271318.24743752,5,0.002714589655082392,0.13163348972784072,True,True,2022,-103.28311715339211,2.003265267062817,2.003265267062817,754.5550981161053,397.12474171634307,390.4128622261283,0.002714589655082392,0.020622332969329804,0.0025624817677776844,500000.0,1.0,0.0,100.16326335314085,100.16326335314085
2022-10-13,PFE,41.7599983215332,42.97999954223633,23135200.0,994350885.4095459,0.022602665687077028,-0.002093986355410027,-0.002791957040612858,-0.0006994352931632974,0.029214589792596835,0.0026243247742550047,86334736.1538639,863347361.5386391,0.013675641820782292,SPY,0.4628428425582973,0.3231812289023592,-0.005357021900812952,0.007755530794261703,0.013014405700541862,-0.0049553577663210575,0.00692193928369777,0.01176547106122179,False,False,False,False,249781.03782481235,11050954.842358397,1481227.002320222,9569727.840038175,740613.501160111,1594954.6400063625,2,0.002893169643556424,0.12800125806446694,True,True,2022,20.93986355410027,53.57021900812952,49.553577663210575,27.919570406128578,-77.55530794261703,-130.14405700541863,0.002893169643556424,0.022602665687077028,0.0025624817677776844,24978.103782481237,2.0,0.0,133.80824900353082,133.80824900353082
