var,coef,se,t,n,n_dates,n_stocks,model,y
flow_adv_w,-0.11962306555156321,0.03094540790569604,-3.8656160525046595,102164,932,145,within-stock slopes,on1_x_w
abs_r_t,0.02814017751930203,0.007301393451351258,3.854083156427376,102164,932,145,within-stock slopes,on1_x_w
r_t_vol,0.2045532537888842,0.05844734388129327,3.4997869912503203,102164,932,145,within-stock slopes,on1_x_w
flow_adv_w,-0.05514823986516795,0.0755509305299234,-0.7299478574036283,102164,932,145,within-stock slopes,cc1_x_w
abs_r_t,0.026055255170607913,0.011128432699657843,2.3413229763620724,102164,932,145,within-stock slopes,cc1_x_w
r_t_vol,0.0996044433393155,0.11732240598369478,0.8489805719903009,102164,932,145,within-stock slopes,cc1_x_w
