,total_musd,top10_days_share,top5_names_share,top5_names,pnl_ex_top10_days_musd,pnl_ex_top5_names_musd
gross,0.7503400022481116,1.7118867191852962,1.3084334470895114,"IONQ (0.23M), QUBT (0.21M), HIMS (0.18M), SMR (0.18M), RGTI (0.18M)",-0.5341570824738959,-0.23142995338253677
net: half-spread + 2bps,-0.11992412124521332,-10.552915833744956,-7.130205529245457,"IONQ (0.20M), QUBT (0.20M), HIMS (0.16M), RGTI (0.15M), SMR (0.15M)",-1.385473279181775,-0.975007753637736
