sample,n,n_events,slope_next_on_e_pre,t_pre,slope_next_on_e_last,t_last,slope_am_on_e_last,share_of_event_e_from_last30,rev_e_next_am_bps,rev_e_next_am_se,rev_e_next_rest_bps,rev_e_next_rest_se,rev_e_next_bps,rev_e_next_se
all funds,42612,4741,-0.14942596353707072,-4.73909212945854,-0.3840847298549767,-14.203291116270597,-0.3969608213220469,0.3718953725482339,31.533231478644723,1.6385367079599733,-0.22936368636876855,1.3775981501820305,31.303867792275955,1.3825662390543303
fund ADV >= $20M,15577,1057,-0.0892096993646801,-3.738144612918429,-0.522993080208433,-20.369755687482566,-0.6357046103929115,0.28633988365948787,25.27622093240594,2.9322924294546926,-2.371453522106984,2.192195378298561,22.904767410298962,2.7719129808088745
