split,value,n,on_xs_bps,t,hit,cc_xs_bps,cc_t,excess_vs_placebo_bps,excess_t,n_stocks
year,2024,295,-18.90599957889374,-1.4279202660363894,0.49491525423728816,-4.193167611389539,-0.185146292731642,-25.000911575297913,-1.181197132064816,5
year,2025,1459,5.064042921142803,0.5231541869439164,0.4996572995202193,-34.6778349926375,-1.5308404795140638,4.500267332575846,0.3783024820569824,55
year,2026,3599,13.959614668997718,1.8950368736200585,0.5379272020005557,47.22193957055149,2.7475904066275225,22.46930255761283,2.5588978099330575,101
mix,mostly long (<20% inv Gamma),4589,8.610538972627058,1.5726586063307222,0.5223360209195903,26.035535834756903,2.1072775858365462,14.867447056847851,2.1845264023480726,102
mix,mixed,526,14.481008445525568,1.1645974060655864,0.5342205323193916,8.936719502056219,0.2914256418517261,19.951792096707713,1.2576396935773881,19
mix,inverse-heavy (>50%),238,20.676672908254094,0.8556334740183127,0.5588235294117647,-25.453670541950515,-0.5654730620600376,5.614637990003584,0.22175424097611765,9
adv_bucket,ADV low,1785,4.839194202757983,0.5117183673303223,0.5187675070028012,34.19481142359259,1.5548683795626728,12.398085494096227,1.123330664703494,66
adv_bucket,ADV mid,1784,19.907432062615367,2.7880156893995327,0.5482062780269058,15.991196183368162,0.8987114906582303,23.18342600648494,2.399678868030949,45
adv_bucket,ADV high,1784,4.4276914171904,0.650621625719835,0.5084080717488789,16.005483426320144,1.4125345053305887,9.286898220758383,1.1108544304552084,42
dow,Friday,1103,2.3790059411896833,0.16613958265852694,0.4823209428830462,-20.20815315173945,-0.6575513332514651,37.01103093132942,2.3031417632764453,87
dow,Monday,1034,11.556887964320435,0.9511272710246964,0.5502901353965184,50.75392907907408,2.1692321295232566,-1.0890571779448888,-0.0733717465077001,83
dow,Thursday,1091,21.348770351901983,1.982465128247764,0.5490375802016498,46.67829603156058,1.7361188887082053,35.459749363086765,2.253773791810514,84
dow,Tuesday,1091,11.148642915650614,0.9549937109147569,0.541704857928506,4.959699813900024,0.18134119139405308,1.6589754402245767,0.10962699714545271,84
dow,Wednesday,1034,1.9567488943491762,0.14105219893178642,0.5029013539651838,30.55395706576907,0.8156720432181197,-0.13149876915874772,-0.00997223051214306,83
opex_day,monthly opex,160,-0.9503088182795558,-0.04418263707061773,0.4875,-37.172255114897226,-0.48509245697174447,53.38573592604135,0.9329437249384188,48
opex_day,non-opex,5074,8.56445150706713,1.4656966039823605,0.5242412297989751,22.118906319625015,1.626566076218884,9.524232902550928,1.4518502904146902,102
opex_day,quad witching,119,73.51129751229077,1.6284521269828727,0.6134453781512605,99.46256275128499,0.9103205176858921,194.8736599382675,2.21394515874404,51
direction,buy flow (up day),2635,5.855166434146937,0.7146668269134915,0.5351043643263758,22.31602749535776,1.1381850327475271,6.711708726901608,0.6561862650974484,95
direction,sell flow (down day),2718,13.474414417188845,1.6471197462271403,0.5154525386313465,21.823797779444075,1.1177537988186208,22.947861859079506,2.4456844306489147,94
