var,coef,se,t,n,n_dates,r2_within,spec
r_cc,-53.387680646050896,33.79443476156112,-1.5797772924072033,1545674,1058,0.0017887946076338146,"A: on_xs ~ FR (all stocks, date FE)"
abs_r,167.3864021209972,51.806847866855136,3.230970595840618,1545674,1058,0.0017887946076338146,"A: on_xs ~ FR (all stocks, date FE)"
r_cc_lag1,-45.93047425759604,29.366808177934246,-1.5640267740131006,1545674,1058,0.0017887946076338146,"A: on_xs ~ FR (all stocks, date FE)"
r_x_ladv,34.114805466843684,53.56804921721517,0.6368498753521942,1545674,1058,0.0017887946076338146,"A: on_xs ~ FR (all stocks, date FE)"
r_x_vol,33.31175556485183,13.044445853702893,2.553711820222375,1545674,1058,0.0017887946076338146,"A: on_xs ~ FR (all stocks, date FE)"
FR_w,-60.74875892445002,29.832196513696495,-2.0363488453342407,1545674,1058,0.0017887946076338146,"A: on_xs ~ FR (all stocks, date FE)"
r_cc,-47.7508533246404,33.31139617752926,-1.4334689867142678,1545674,1058,0.001804815893717282,B: A + r*treated
abs_r,168.61690799955775,51.403798020377515,3.2802422095875983,1545674,1058,0.001804815893717282,B: A + r*treated
r_cc_lag1,-45.98164726849517,29.380634419716447,-1.5650324840377952,1545674,1058,0.001804815893717282,B: A + r*treated
r_x_ladv,38.44247802037621,56.0963003485693,0.6852943559825448,1545674,1058,0.001804815893717282,B: A + r*treated
r_x_vol,33.45633738417208,12.98925568235353,2.5756931884575938,1545674,1058,0.001804815893717282,B: A + r*treated
r_x_treated,-81.32032082940894,91.35066096454796,-0.8901995888236467,1545674,1058,0.001804815893717282,B: A + r*treated
FR_w,-39.87884471950713,24.648891234443603,-1.6178758038325738,1545674,1058,0.001804815893717282,B: A + r*treated
r_cc,-54.13806056247284,30.600960031086288,-1.7691621605164072,1545674,1058,0.001546672071521038,"C: A, date+stock FE, 2-way cluster"
abs_r,152.35281657076388,45.88358528066112,3.32042092262082,1545674,1058,0.001546672071521038,"C: A, date+stock FE, 2-way cluster"
r_cc_lag1,-48.41426304982504,24.95420921936816,-1.9401241139009289,1545674,1058,0.001546672071521038,"C: A, date+stock FE, 2-way cluster"
r_x_ladv,34.41618467569802,48.39076465537597,0.7112139045704159,1545674,1058,0.001546672071521038,"C: A, date+stock FE, 2-way cluster"
r_x_vol,33.25926308296955,7.343768054450796,4.528909796219979,1545674,1058,0.001546672071521038,"C: A, date+stock FE, 2-way cluster"
FR_w,-59.542747608908094,28.68388974237059,-2.0758254247837993,1545674,1058,0.001546672071521038,"C: A, date+stock FE, 2-way cluster"
r_cc,-244.92522284917018,129.49235392831227,-1.8914261376757597,53526,1056,0.0021678190432465883,"D: treated only, date FE"
abs_r,99.58062937662307,80.38012144596595,1.2388713476075586,53526,1056,0.0021678190432465883,"D: treated only, date FE"
r_cc_lag1,-98.77179748263522,69.57698765690975,-1.4196043952015809,53526,1056,0.0021678190432465883,"D: treated only, date FE"
r_x_ladv,89.48706096116025,45.583220255048396,1.9631579440956555,53526,1056,0.0021678190432465883,"D: treated only, date FE"
r_x_vol,8.275447006834009,42.53501600308266,0.19455610422796735,53526,1056,0.0021678190432465883,"D: treated only, date FE"
FR_w,-45.652460431801735,24.32574059566601,-1.8767141025887368,53526,1056,0.0021678190432465883,"D: treated only, date FE"
r_cc,-259.4041456686112,128.519352810227,-2.0184053218167852,53526,1056,0.002254137732484951,"E: treated only, date+stock FE"
abs_r,94.55463899141954,85.407667115373,1.1070977838990772,53526,1056,0.002254137732484951,"E: treated only, date+stock FE"
r_cc_lag1,-104.47250503951865,69.57836519584811,-1.50150847530624,53526,1056,0.002254137732484951,"E: treated only, date+stock FE"
r_x_ladv,91.39520729845793,45.291515315575644,2.0179322034524056,53526,1056,0.002254137732484951,"E: treated only, date+stock FE"
r_x_vol,10.608047846809216,42.73013575966467,0.24825682526435444,53526,1056,0.002254137732484951,"E: treated only, date+stock FE"
FR_w,-45.08772215529428,24.41731577401909,-1.8465470395099388,53526,1056,0.002254137732484951,"E: treated only, date+stock FE"
