decile,n,absFR_median,abs_r_mean,flow_musd_median,on_raw_bps,on_raw_t,on_raw_hit,on_xs_bps,on_xs_t,on_xs_hit,cc_xs_bps,cc_xs_t,cc_xs_hit,oc_xs_bps,oc_xs_t,oc_xs_hit,"on_xs_t_2way(date,stock)",n_stocks
1,5353,0.00010667279019329759,0.006601566784702694,0.012104401157797314,0.07838432098083654,0.036761039727356656,0.4832804035120493,-0.7158388599857894,-0.4905400208406059,0.47842331402951616,0.16304362661311306,0.059647416182469694,0.4896319820661311,0.821148266705594,0.3416982443558661,0.48253315897627497,-0.48107934400922875,205
2,5353,0.0005128175156127698,0.01176674454671577,0.05958345798252523,0.15335151812185102,0.056066898456793066,0.495983560620213,-0.9936878157899519,-0.5981164412829797,0.49878572762936674,-3.794796852467524,-1.11066188994769,0.49729123855781804,-2.854232454472526,-0.9975501295065217,0.5028955725761255,-0.5778977625155547,215
3,5352,0.0012366052132258606,0.01617653643796612,0.13891191933156888,2.1501979297115894,0.617656439880633,0.499813153961136,-0.7771551532621584,-0.39639637914409637,0.49495515695067266,0.3118974899328975,0.07815817251486025,0.4971973094170404,1.0902960856234425,0.33010090107000184,0.500560538116592,-0.3993430154508376,223
4,5353,0.0024690883984841007,0.01898498785960863,0.263923732560344,-3.157751865679007,-0.8365428267203744,0.49280777134317205,-4.789838386984448,-2.2223710075248277,0.49504950495049505,-4.970528190689105,-1.0827797899073235,0.4916869045395105,-0.13099501929078447,-0.032825220507202366,0.4957967494862694,-2.2877387449264788,225
5,5352,0.004682515212555854,0.021799425170471266,0.5423576053677089,-1.021586837872364,-0.24952880119379792,0.49869207772795215,-3.3417812002972407,-1.2010797499122277,0.4884155455904335,2.873915913757135,0.5256772162797192,0.49831838565022424,5.2905281132717095,1.2765129535462933,0.507847533632287,-1.1928701476299626,214
6,5353,0.008778306051079876,0.02582072647751852,0.9906788552034925,-1.1767573894727499,-0.24033464936038526,0.491500093405567,-4.061952175506673,-1.589436563223956,0.48869792639641324,0.07662727670043502,0.014850489732883334,0.49953297216514103,4.011112762468561,0.8689153654048419,0.5062581729871101,-1.590909731874369,200
7,5352,0.016406645957325272,0.031122090084029205,1.6352377391762865,-3.2531704689493863,-0.6419592554832377,0.4910313901345291,-4.321616869067455,-1.6238846034807066,0.49177877428998507,3.2639228886963036,0.5249499616465416,0.5016816143497758,7.837463364928735,1.3762757469811377,0.5115844544095666,-1.6796499392963502,177
8,5353,0.031663031236266855,0.03720327179804151,2.778201471282903,-0.4697627757737721,-0.07807961239481405,0.4935550158789464,-5.378971750055655,-1.6304916324545642,0.4879506818606389,5.772109348222528,0.7956806195307897,0.5043900616476742,11.25640545478291,1.6495810781154072,0.5111152624696432,-1.4984983037994155,156
9,5352,0.06693838620117586,0.047728812993839326,5.74437924110879,1.910866587231592,0.2266124069062798,0.5147608370702541,-6.70813377555187,-1.568394533765525,0.4899103139013453,3.454722306691916,0.3865738874835734,0.5050448430493274,10.381044137076145,1.311510487634296,0.5192451420029895,-1.7324302228437223,128
10,5353,0.19547352582822916,0.07107841285524581,26.733701974754094,14.140524963678782,1.1985119152606993,0.536708387819914,9.723859880421536,1.7211230788974936,0.525126097515412,22.06609654675821,1.659869109705876,0.5314776760694937,12.60818675829573,1.058401586930909,0.5253129086493555,1.6837142368370728,102
