sample,n,fund_adv_med,load_on_last30,t_last30,e_autocorr_slope,rev_bps_if_abs_e_ge_50,se,n_ev
all,54282,7537433.017578125,-0.014218314090854806,-4.532135083230137,-0.22969094149781558,32.59133229644243,1.3833387249693354,5679
q1 thinnest,13022,579673.0489327691,-0.03410986029237583,-5.5867047964852015,-0.26821402903722746,34.72939187060602,1.8888443289818224,1568
q2,13022,3679909.2176675797,-0.01821008733984537,-3.4012071687840546,-0.24048924482227219,34.96163734677511,2.235992946785532,1679
q3,13022,17891787.35366392,-0.014641467399245869,-3.4651365682329835,-0.18787673143887207,30.58676225734215,2.8838564546823218,1153
q4 most liquid,13022,112473946.68032713,-0.0012637402539848288,-0.28545511833346554,-0.18365550204115527,22.941434203285183,3.3379543579129662,857
