rule,period,trade days,share of bdays with trades,positions/day (trade days) mean,positions/day median,positions/day max,fund leg $/day mean,gross (fund+hedge) $/day mean,gross $/day p95,gross $/day max,total pnl,losing days,losing share of trade days,worst day,best day,max drawdown $,dd peak,dd trough
"All funds, 5 bps",full 2022-07..2026-03,633,0.6600625651720542,8.889415481832543,3.0,53,1714067.7659130555,5074944.369143806,18296243.04003499,43395366.35526134,1986841.0396771897,170,0.2685624012638231,-117829.78243106332,114715.9699565437,-173278.2359848873,2024-11-19,2024-12-23
"All funds, 5 bps",2025-01..2026-03,296,0.9337539432176656,16.55743243243243,14.0,53,2897944.419708446,8632053.073292369,23560794.615439378,43395366.35526134,1795342.8165524302,58,0.19594594594594594,-44180.2202390943,114715.9699565437,-44180.220239094226,2025-12-10,2025-12-11
"Fund ADV >= $20M, 5 bps",full 2022-07..2026-03,419,0.4369134515119917,3.367541766109785,2.0,18,2201783.5920224143,6517798.331981881,18548162.069981445,40573586.31951567,1554047.663085577,127,0.3031026252983294,-117175.11017957026,113056.32397905455,-171404.92241701612,2024-11-19,2024-12-23
"Fund ADV >= $20M, 5 bps",2025-01..2026-03,265,0.8359621451104101,4.245283018867925,3.0,18,2668214.4928488354,7944765.738187094,20180373.08719429,40573586.31951567,1373904.889413781,68,0.25660377358490566,-32621.793700849517,113056.32397905455,-32621.79370084952,2025-10-14,2025-10-15
"All funds, 10 bps",full 2022-07..2026-03,633,0.6600625651720542,8.889415481832543,3.0,53,1714067.7659130555,5074944.369143806,18296243.04003499,43395366.35526134,1444338.5917657076,203,0.320695102685624,-123448.09101540636,111729.69973828182,-209717.89114861962,2024-11-19,2024-12-23
"All funds, 10 bps",2025-01..2026-03,296,0.9337539432176656,16.55743243243243,14.0,53,2897944.419708446,8632053.073292369,23560794.615439378,43395366.35526134,1366447.04243558,75,0.2533783783783784,-47098.16656835148,111729.69973828182,-47098.166568351444,2025-12-10,2025-12-11
