total,share_top10_days,share_top5_names,top5_names,total_ex_top10_days,y,col
54124.94809402688,0.8561578048396372,0.5213160969627486,"COIN, QUBT, BMNR, IONQ, SMR",7785.451346785521,on1_x,rev_treated
57902.87339744964,0.7228317719375105,0.47453548552654345,"COIN, QUBT, BMNR, IONQ, SMR",16048.83681929778,on1_x,excess
8974.991106938432,8.214853817638977,4.880365848175549,"MSTR, BMNR, IREN, CRCL, COIN",-64753.24885117061,cc1_x,excess
