year,rev_treated,rev_match,diff,diff_t,n
2024,-18.905999578893738,6.094911996404176,-25.000911575297913,-1.181197132064816,295
2025,5.064042921142804,0.5637755885669586,4.500267332575846,0.3783024820569824,1459
2026,13.959614668997716,-8.509687888615115,22.46930255761283,2.5588978099330575,3599
