absFR_bin,n,abs_r_mean,on_xs_bps,t,hit,n_dates,n_stocks
"[0.0, 0.01)",30604,0.0163711629870045,-2.464217721652271,-2.3583181954552357,0.4904587635603189,1056,237
"[0.01, 0.03)",9143,0.03120509421698699,-5.258667715823569,-2.2825480431551672,0.49086733019796563,715,187
"[0.03, 0.1)",8163,0.04419562666930739,-5.288133483703304,-1.4061980121636302,0.4885458777410266,610,148
"[0.1, 0.3)",4208,0.0623700486732069,3.889921348229518,0.7528698409400606,0.5168726235741445,558,105
"[0.3, 1.0)",1328,0.09156751324040617,28.6558794640347,2.7689633928572404,0.5542168674698795,390,55
"[1.0, inf)",80,0.14881032215016243,-26.427038546791376,-0.9034457796110138,0.5,69,16
